Project name:,UVEX Dichroic Coating,,,,,UVEX Dichroic Coating,,,,
Coating design:,135 180nm-FR30-S1 UVEX Dichroic Coating/FS substrate(10mm)/Air,,,,,135 180nm-FR30-S1 UVEX Dichroic Coating/FS substrate(10mm)/Air,,,,
AOI:,20° 25° 30° 35° 40°,,,,,20° 25° 30° 35° 40°,,,,
,,,,,,,,,,
wl(nm),%R,,,,,%T,,,,
,20°,25°,30°,35°,40°,20°,25°,30°,35°,40°
374,4.29,7.74,12.70,14.99,12.00,95.00,91.57,86.63,84.34,87.29
375,4.67,8.43,13.19,14.89,11.40,94.64,90.90,86.16,84.46,87.89
376,5.12,9.12,13.62,14.71,10.78,94.21,90.22,85.74,84.64,88.52
377,5.64,9.81,13.98,14.47,10.15,93.70,89.56,85.40,84.89,89.16
378,6.22,10.47,14.27,14.17,9.52,93.14,88.91,85.12,85.20,89.80
379,6.84,11.11,14.50,13.82,8.89,92.54,88.28,84.91,85.57,90.43
380,7.49,11.72,14.65,13.41,8.28,91.90,87.70,84.77,85.99,91.06
381,8.16,12.27,14.73,12.95,7.68,91.25,87.15,84.70,86.45,91.66
382,8.84,12.78,14.74,12.45,7.12,90.58,86.66,84.70,86.96,92.23
383,9.52,13.23,14.69,11.91,6.60,89.93,86.23,84.77,87.51,92.77
384,10.18,13.62,14.56,11.35,6.12,89.28,85.85,84.90,88.08,93.26
385,10.82,13.95,14.37,10.76,5.68,88.66,85.54,85.10,88.67,93.70
386,11.42,14.20,14.12,10.16,5.31,88.07,85.29,85.36,89.29,94.09
387,11.99,14.40,13.81,9.55,4.99,87.52,85.11,85.68,89.90,94.41
388,12.50,14.52,13.45,8.94,4.74,87.02,85.00,86.06,90.52,94.68
389,12.96,14.57,13.04,8.34,4.55,86.57,84.96,86.48,91.13,94.88
390,13.37,14.56,12.58,7.76,4.43,86.18,84.98,86.94,91.72,95.02
391,13.72,14.48,12.08,7.19,4.37,85.84,85.07,87.45,92.30,95.09
392,14.00,14.34,11.56,6.66,4.37,85.57,85.22,87.98,92.84,95.10
393,14.22,14.14,11.00,6.17,4.44,85.37,85.44,88.54,93.34,95.05
394,14.37,13.88,10.43,5.71,4.56,85.22,85.71,89.12,93.81,94.95
395,14.46,13.56,9.85,5.31,4.72,85.15,86.03,89.72,94.22,94.79
396,14.48,13.19,9.26,4.96,4.94,85.14,86.41,90.32,94.59,94.59
397,14.43,12.78,8.67,4.66,5.19,85.19,86.83,90.92,94.90,94.35
398,14.32,12.32,8.09,4.42,5.48,85.31,87.29,91.51,95.15,94.08
399,14.16,11.83,7.52,4.24,5.80,85.49,87.79,92.08,95.34,93.78
400,13.93,11.32,6.98,4.12,6.14,85.72,88.32,92.63,95.47,93.45
401,13.64,10.76,6.46,4.05,6.50,86.01,88.87,93.15,95.54,93.10
402,13.30,10.19,5.97,4.05,6.86,86.35,89.44,93.64,95.54,92.73
403,12.92,9.61,5.52,4.10,7.24,86.74,90.03,94.09,95.49,92.36
404,12.48,9.02,5.12,4.21,7.61,87.17,90.61,94.49,95.39,91.99
405,12.01,8.44,4.78,4.36,7.98,87.64,91.19,94.84,95.24,91.63
