single layer HfO2,,,
assumes 7 µm device layer thickness,,,
,,,
nm,T (%),corr. 7 µm,eff QE
646,67.0272,5.2941,0.617331
647,67.0374,5.4224,0.61615
648,67.0477,5.5533,0.614944
649,67.058,5.687,0.61371
650,67.0684,5.8235,0.612449
651,67.0787,5.9628,0.611159
652,67.0891,6.1051,0.60984
653,67.0991,6.2008,0.608983
654,67.1082,6.2231,0.608851
655,67.1174,6.2455,0.608719
656,67.1266,6.2679,0.608587
657,67.1358,6.2903,0.608455
658,67.1451,6.3128,0.608323
659,67.1544,6.3352,0.608192
660,67.1641,6.4178,0.607463
661,67.1741,6.5627,0.606114
662,67.1842,6.7104,0.604738
663,67.1943,6.861,0.603333
664,67.2044,7.0145,0.601899
665,67.2146,7.171,0.600436
666,67.2248,7.3305,0.598943
667,67.2349,7.4924,0.597425
668,67.245,7.6561,0.595889
669,67.255,7.8229,0.594321
670,67.2651,7.9928,0.592723
671,67.2753,8.166,0.591093
672,67.2854,8.3424,0.58943
673,67.2956,8.5221,0.587735
674,67.3055,8.7043,0.586012
675,67.314,8.8859,0.584281
676,67.3226,9.0709,0.582517
677,67.3311,9.2592,0.580719
678,67.3397,9.4509,0.578888
679,67.3484,9.646,0.577024
680,67.357,9.8445,0.575125
681,67.3657,10.0466,0.573191
682,67.3733,10.1094,0.572639
683,67.3807,10.1368,0.572439
684,67.3881,10.1642,0.572239
685,67.3955,10.1915,0.57204
686,67.4029,10.2189,0.57184
687,67.4104,10.2464,0.57164
688,67.4179,10.2738,0.571441
689,67.4254,10.3012,0.571242
690,67.4327,10.3285,0.571042
691,67.4401,10.3559,0.570842
692,67.4476,10.3833,0.570643
693,67.455,10.4107,0.570443
694,67.4625,10.4381,0.570244
695,67.47,10.4655,0.570045
696,67.4775,10.4929,0.569846
697,67.4847,10.6039,0.568808
698,67.4916,10.8009,0.566907
699,67.4985,11.0011,0.564974
700,67.5054,11.2043,0.563011
701,67.5124,11.4109,0.561015
702,67.5194,11.6206,0.558988
703,67.5265,11.8337,0.556928
704,67.5335,12.0501,0.554834
705,67.5411,12.2688,0.552723
706,67.5493,12.49,0.550593
707,67.5576,12.7145,0.548431
708,67.5658,12.9426,0.546232
709,67.5741,13.1741,0.544
710,67.5824,13.4091,0.541733
711,67.5907,13.6478,0.539429
712,67.599,13.8901,0.537089
713,67.6059,14.0489,0.53557
714,67.6108,14.0782,0.535326
715,67.6156,14.1074,0.535082
716,67.6205,14.1367,0.534838
717,67.6253,14.1659,0.534594
718,67.6302,14.1951,0.534351
719,67.6351,14.2244,0.534107
720,67.6401,14.2536,0.533865
721,67.6454,14.3243,0.533211
722,67.6522,14.5633,0.530889
723,67.659,14.8057,0.528533
724,67.6658,15.0515,0.526143
725,67.6726,15.3008,0.523718
726,67.6795,15.5536,0.521259
727,67.6864,15.81,0.518764
728,67.6933,16.07,0.516233
729,67.7002,16.3336,0.513666
730,67.7055,16.4344,0.512711
731,67.7102,16.4643,0.512459
732,67.7148,16.4943,0.512205
733,67.7195,16.5242,0.511953
734,67.7242,16.5542,0.5117
735,67.7289,16.5841,0.511448
736,67.7336,16.614,0.511196
737,67.7384,16.6438,0.510946
738,67.7431,16.6737,0.510694
739,67.7497,16.932,0.508177
740,67.7564,17.1936,0.505628
741,67.763,17.4587,0.503043
742,67.7697,17.7272,0.500425
743,67.7764,17.9993,0.497771
744,67.7831,18.2749,0.495082
745,67.7899,18.554,0.492359
746,67.7966,18.8368,0.489598
747,67.8033,19.0976,0.487057
748,67.8089,19.1285,0.486804
749,67.8146,19.1593,0.486553
750,67.8203,19.1902,0.486301
751,67.8261,19.221,0.486051
752,67.8318,19.2518,0.4858
753,67.8375,19.2826,0.485549
754,67.8433,19.3134,0.485299
755,67.8491,19.3441,0.48505
756,67.8549,19.3748,0.484801
757,67.8592,19.6526,0.482066
758,67.8636,19.9338,0.479298
759,67.8679,20.2184,0.476495
760,67.8723,20.5064,0.473659
761,67.8767,20.7978,0.470789
762,67.8811,21.0928,0.467883
763,67.8855,21.3914,0.464941
764,67.8899,21.6935,0.461964
765,67.8943,21.9992,0.458951
766,67.8988,22.1128,0.45786
767,67.9032,22.1429,0.457603
768,67.9077,22.173,0.457347
769,67.9122,22.2032,0.45709
770,67.9166,22.2332,0.456834
771,67.9211,22.2633,0.456578
772,67.9256,22.2933,0.456323
773,67.9302,22.3233,0.456069
774,67.9347,22.3533,0.455814
775,67.9394,22.4099,0.455295
776,67.9457,22.7073,0.452384
777,67.952,23.008,0.44944
778,67.9583,23.3121,0.446462
779,67.9647,23.6196,0.443451
780,67.971,23.9305,0.440405
781,67.9774,24.2449,0.437325
782,67.9837,24.5628,0.434209
783,67.9901,24.8842,0.431059
784,67.9965,25.2092,0.427873
785,68.0026,25.4479,0.425547
786,68.008,25.478,0.4253
787,68.0133,25.5081,0.425052
788,68.0187,25.5382,0.424805
789,68.0241,25.5683,0.424558
790,68.0294,25.5983,0.424311
791,68.0348,25.6283,0.424065
792,68.0403,25.6583,0.42382
793,68.0457,25.6882,0.423575
794,68.0511,25.7182,0.423329
795,68.0567,25.805,0.422517
796,68.0628,26.1214,0.419414
797,68.069,26.4411,0.416279
798,68.0751,26.7641,0.41311
799,68.0813,27.0904,0.409909
800,68.0874,27.4201,0.406673
801,68.0936,27.7533,0.403403
802,68.0998,28.0898,0.4001
803,68.1061,28.4298,0.396763
804,68.1123,28.7733,0.39339
805,68.1186,29.1204,0.389982
806,68.123,29.1807,0.389423
807,68.1273,29.2089,0.389184
808,68.1316,29.2371,0.388945
809,68.1359,29.2652,0.388707
810,68.1402,29.2934,0.388468
811,68.1445,29.3215,0.38823
812,68.1488,29.3495,0.387993
813,68.1532,29.3776,0.387756
814,68.1575,29.4056,0.387519
815,68.1619,29.4336,0.387283
816,68.1665,29.5522,0.386143
817,68.1714,29.8842,0.382872
818,68.1764,30.2193,0.379571
819,68.1814,30.5577,0.376237
820,68.1864,30.8992,0.372872
821,68.1914,31.244,0.369474
822,68.1964,31.5921,0.366043
823,68.2015,31.9434,0.362581
824,68.2065,32.2981,0.359084
825,68.2116,32.6561,0.355555
826,68.2166,33.0175,0.351991
827,68.2206,33.285,0.349356
828,68.2229,33.4078,0.348151
829,68.2252,33.5307,0.346945
830,68.2276,33.6538,0.345738
831,68.2299,33.7772,0.344527
832,68.2322,33.9007,0.343315
833,68.2346,34.0244,0.342102
834,68.237,34.1484,0.340886
835,68.2393,34.2725,0.339668
836,68.2417,34.3968,0.338449
837,68.2441,34.5213,0.337228
838,68.2465,34.646,0.336005
839,68.2489,34.771,0.334779
840,68.2514,34.8961,0.333553
841,68.2538,35.0214,0.332324
842,68.2562,35.1469,0.331093
843,68.2587,35.2726,0.329861
844,68.2611,35.3984,0.328627
845,68.2636,35.5245,0.327391
846,68.2661,35.6508,0.326153
847,68.2686,35.7773,0.324913
848,68.271,35.9039,0.323671
849,68.2735,36.0308,0.322427
850,68.2761,36.1579,0.321182
851,68.2786,36.2851,0.319935
852,68.2811,36.4125,0.318686
853,68.2836,36.5402,0.317434
854,68.2862,36.668,0.316182
855,68.2887,36.796,0.314927
856,68.2913,36.9243,0.31367
857,68.2938,37.0527,0.312411
858,68.2964,37.1813,0.311151
859,68.299,37.3101,0.309889
860,68.3016,37.4391,0.308625
861,68.3042,37.5683,0.307359
862,68.3068,37.6976,0.306092
863,68.3094,37.8272,0.304822
864,68.312,37.957,0.30355
865,68.3147,38.0869,0.302278
866,68.3173,38.2171,0.301002
867,68.32,38.3474,0.299726
868,68.3226,38.478,0.298446
869,68.3253,38.6087,0.297166
870,68.3279,38.7396,0.295883
871,68.3306,38.8707,0.294599
872,68.3333,39.0021,0.293312
873,68.336,39.1336,0.292024
874,68.3387,39.2652,0.290735
875,68.3414,39.3971,0.289443
876,68.3441,39.5292,0.288149
877,68.3469,39.6615,0.286854
878,68.3496,39.7939,0.285557
879,68.3523,39.9266,0.284257
880,68.3551,40.0594,0.282957
881,68.3578,40.1925,0.281653
882,68.3606,40.3257,0.280349
883,68.3634,40.4591,0.279043
884,68.3661,40.5927,0.277734
885,68.3689,40.7265,0.276424
886,68.3717,40.8605,0.275112
887,68.3745,40.9947,0.273798
888,68.3773,41.129,0.272483
889,68.3801,41.2636,0.271165
890,68.383,41.3983,0.269847
891,68.3858,41.5333,0.268525
892,68.3886,41.6684,0.267202
893,68.3915,41.8037,0.265878
894,68.3943,41.9393,0.26455
895,68.3972,42.075,0.263222
896,68.4,42.2109,0.261891
897,68.4029,42.3471,0.260558
898,68.4058,42.4834,0.259224
899,68.4087,42.6199,0.257888
900,68.4116,42.7566,0.25655
901,68.4145,42.8935,0.25521
902,68.4174,43.0306,0.253868
903,68.4203,43.1679,0.252524
904,68.4232,43.3054,0.251178
905,68.4262,43.443,0.249832
906,68.4291,43.5809,0.248482
907,68.432,43.7189,0.247131
908,68.435,43.8572,0.245778
909,68.438,43.9956,0.244424
910,68.4409,44.1342,0.243067
911,68.4439,44.273,0.241709
912,68.4469,44.412,0.240349
913,68.4499,44.5512,0.238987
914,68.4529,44.6905,0.237624
915,68.4559,44.8301,0.236258
916,68.4589,44.9698,0.234891
917,68.4619,45.1098,0.233521
918,68.4649,45.2499,0.23215
919,68.4679,45.3902,0.230777
920,68.471,45.5307,0.229403
921,68.474,45.6714,0.228026
922,68.4771,45.8123,0.226648
923,68.4801,45.9534,0.225267
924,68.4832,46.0946,0.223886
925,68.4862,46.2361,0.222501
926,68.4893,46.3777,0.221116
927,68.4924,46.5195,0.219729
928,68.4954,46.6616,0.218338
929,68.4985,46.8038,0.216947
930,68.5016,46.9462,0.215554
931,68.5047,47.0887,0.21416
932,68.5078,47.2315,0.212763
933,68.5109,47.3745,0.211364
934,68.5141,47.5176,0.209965
935,68.5172,47.661,0.208562
936,68.5203,47.8045,0.207158
937,68.5235,47.9482,0.205753
938,68.5266,48.0921,0.204345
939,68.5297,48.2362,0.202935
940,68.5329,48.3805,0.201524
941,68.5361,48.5249,0.200112
942,68.5392,48.6696,0.198696
943,68.5424,48.8144,0.19728
944,68.5456,48.9595,0.195861
945,68.5488,49.1047,0.194441
946,68.5519,49.2501,0.193018
947,68.5551,49.3957,0.191594
948,68.5583,49.5415,0.190168
949,68.5615,49.6875,0.18874
950,68.5647,49.8336,0.187311
951,68.568,49.98,0.18588
952,68.5712,50.1265,0.184447
953,68.5744,50.2733,0.183011
954,68.5776,50.4202,0.181574
955,68.5809,50.5673,0.180136
956,68.5841,50.7146,0.178695
957,68.5874,50.8621,0.177253
958,68.5906,51.0097,0.175809
959,68.5939,51.1576,0.174363
960,68.5972,51.3056,0.172916
961,68.6004,51.4539,0.171465
962,68.6037,51.6023,0.170014
963,68.607,51.7509,0.168561
964,68.6103,51.8997,0.167106
965,68.6136,52.0487,0.165649
966,68.6169,52.1979,0.16419
967,68.6202,52.3472,0.16273
968,68.6235,52.4968,0.161267
969,68.6268,52.6465,0.159803
970,68.6301,52.7964,0.158337
971,68.6334,52.9465,0.156869
972,68.6368,53.0968,0.1554
973,68.6401,53.2473,0.153928
974,68.6434,53.398,0.152454
975,68.6468,53.5489,0.150979
976,68.6501,53.6999,0.149502
977,68.6535,53.8512,0.148023
978,68.6568,54.0026,0.146542
979,68.6602,54.1542,0.14506
980,68.6636,54.306,0.143576
981,68.667,54.458,0.14209
982,68.6703,54.6102,0.140601
983,68.6737,54.7626,0.139111
984,68.6771,54.9152,0.137619
985,68.6805,55.0679,0.136126
986,68.6839,55.2208,0.134631
987,68.6873,55.374,0.133133
988,68.6907,55.5273,0.131634
989,68.6941,55.6808,0.130133
990,68.6976,55.8345,0.128631
