"46 layers, 1.45 microns total thickness",,
,,
nm,R,T
391.5,0.107389,0.89194
392,0.107807,0.891526
392.5,0.108129,0.891207
393,0.108359,0.89098
393.5,0.108494,0.890848
394,0.108536,0.890809
394.5,0.108486,0.890863
395,0.108345,0.891006
395.5,0.108115,0.891238
396,0.1078,0.891557
396.5,0.107401,0.891958
397,0.106922,0.89244
397.5,0.106365,0.892999
398,0.105736,0.89363
398.5,0.105038,0.894331
399,0.104276,0.895095
399.5,0.103454,0.89592
400,0.102576,0.896799
400.5,0.101661,0.897716
401,0.100701,0.898678
401.5,0.099703,0.899678
402,0.098671,0.900711
402.5,0.097612,0.901773
403,0.09653,0.902856
403.5,0.095431,0.903957
404,0.094321,0.905069
404.5,0.093204,0.906187
405,0.092088,0.907306
405.5,0.090977,0.908418
406,0.089877,0.90952
406.5,0.088792,0.910606
407,0.087729,0.911671
407.5,0.086691,0.912711
408,0.085684,0.91372
408.5,0.084712,0.914694
409,0.083779,0.915628
409.5,0.082889,0.91652
410,0.082047,0.917364
410.5,0.081255,0.918158
411,0.080516,0.918898
411.5,0.079834,0.919582
412,0.079211,0.920208
412.5,0.078648,0.920772
413,0.078147,0.921275
413.5,0.07771,0.921714
414,0.077337,0.922089
414.5,0.077028,0.9224
415,0.076784,0.922646
415.5,0.076604,0.922828
416,0.076489,0.922945
416.5,0.076436,0.923
417,0.076445,0.922994
417.5,0.076514,0.922927
418,0.076641,0.922802
418.5,0.076824,0.922621
419,0.077061,0.922387
419.5,0.077349,0.922101
420,0.077685,0.921767
420.5,0.078066,0.921388
421,0.078489,0.920967
421.5,0.07895,0.920508
422,0.079447,0.920014
422.5,0.079974,0.919489
423,0.080529,0.918936
423.5,0.081108,0.918359
424,0.081707,0.917763
424.5,0.082323,0.917149
425,0.082951,0.916524
425.5,0.083588,0.915889
426,0.08423,0.915249
426.5,0.084873,0.914609
427,0.085513,0.91397
427.5,0.086149,0.913337
428,0.086776,0.912712
428.5,0.087391,0.912099
429,0.087992,0.9115
429.5,0.088576,0.910918
430,0.089139,0.910357
430.5,0.08968,0.909818
431,0.090196,0.909304
431.5,0.090684,0.908818
432,0.091143,0.908361
432.5,0.091571,0.907935
433,0.091966,0.907542
433.5,0.092327,0.907183
434,0.092651,0.906861
434.5,0.092938,0.906575
435,0.093188,0.906327
435.5,0.093399,0.906118
436,0.09357,0.905948
436.5,0.093702,0.905818
437,0.093794,0.905727
437.5,0.093846,0.905677
438,0.093858,0.905667
438.5,0.09383,0.905696
439,0.093762,0.905765
439.5,0.093655,0.905874
440,0.09351,0.90602
440.5,0.093327,0.906205
441,0.093107,0.906426
441.5,0.092851,0.906683
442,0.092561,0.906975
442.5,0.092237,0.9073
443,0.091881,0.907657
443.5,0.091495,0.908045
444,0.091079,0.908461
444.5,0.090637,0.908905
445,0.090168,0.909375
445.5,0.089676,0.909868
446,0.089163,0.910383
446.5,0.088629,0.910917
447,0.088078,0.91147
447.5,0.087511,0.912038
448,0.08693,0.912619
448.5,0.086339,0.913212
449,0.085737,0.913814
449.5,0.08513,0.914423
450,0.084517,0.915036
450.5,0.083905,0.91565
451,0.083292,0.916263
451.5,0.082681,0.916875
452,0.082074,0.917483
452.5,0.081473,0.918085
453,0.08088,0.918679
453.5,0.080297,0.919263
454,0.079726,0.919835
454.5,0.07917,0.920393
455,0.078629,0.920935
455.5,0.078106,0.921459
456,0.077602,0.921964
456.5,0.077119,0.922448
457,0.076659,0.922909
457.5,0.076222,0.923346
458,0.075811,0.923758
458.5,0.075427,0.924144
459,0.07507,0.924502
459.5,0.074742,0.924831
460,0.074443,0.92513
460.5,0.074175,0.9254
461,0.073937,0.925638
461.5,0.073732,0.925845
462,0.073558,0.92602
462.5,0.073416,0.926163
463,0.073307,0.926273
