"Case 6: 36 layer bluer dichroic with modified AOI NUV filter on same element bluer FUV filter",,
nm,Detector + Filter,%
1064,0.0011,0.000011
1065,0.0011,0.000011
1066,0.0011,0.000011
1067,0.001,0.00001
1068,0.0011,0.000011
1069,0.001,0.00001
1070,0.0011,0.000011
1071,0.001,0.00001
1072,0.001,0.00001
1073,0.001,0.00001
1074,0.001,0.00001
1075,0.001,0.00001
1076,0.001,0.00001
1077,0.001,0.00001
1078,0.001,0.00001
1079,0.0009,0.000009
1080,0.001,0.00001
1081,0.0009,0.000009
1082,0.0009,0.000009
1083,0.0009,0.000009
1084,0.0009,0.000009
1085,0.0009,0.000009
1086,0.0008,0.000008
1087,0.0009,0.000009
1088,0.0008,0.000008
1089,0.0009,0.000009
1090,0.0008,0.000008
1091,0.0009,0.000009
1092,0.0008,0.000008
1093,0.0009,0.000009
1094,0.0008,0.000008
1095,0.0007,0.000007
1096,0.0008,0.000008
1097,0.0007,0.000007
1098,0.0008,0.000008
1099,0.0007,0.000007
1100,0.0008,0.000008
