"Case 6: 36 layer bluer dichroic with modified AOI NUV filter on same element, bluer FUV filter",,
nm,Detector + Filter,%
723,0.0054,0.000054
724,0.0055,0.000055
725,0.0055,0.000055
726,0.0055,0.000055
727,0.0055,0.000055
728,0.0055,0.000055
729,0.0055,0.000055
730,0.0055,0.000055
731,0.0056,0.000056
732,0.0056,0.000056
733,0.0057,0.000057
734,0.0057,0.000057
735,0.0057,0.000057
736,0.0058,0.000058
737,0.0058,0.000058
738,0.0059,0.000059
739,0.0059,0.000059
740,0.006,0.00006
741,0.006,0.00006
742,0.006,0.00006
743,0.0061,0.000061
744,0.0061,0.000061
745,0.0062,0.000062
746,0.0062,0.000062
747,0.0062,0.000062
748,0.0063,0.000063
749,0.0063,0.000063
750,0.0064,0.000064
751,0.0064,0.000064
752,0.0065,0.000065
753,0.0065,0.000065
754,0.0065,0.000065
755,0.0066,0.000066
756,0.0066,0.000066
757,0.0067,0.000067
758,0.0067,0.000067
759,0.0068,0.000068
760,0.0068,0.000068
761,0.0069,0.000069
762,0.0069,0.000069
763,0.0069,0.000069
764,0.007,0.00007
765,0.007,0.00007
766,0.0071,0.000071
767,0.0071,0.000071
768,0.0072,0.000072
769,0.0072,0.000072
770,0.0073,0.000073
771,0.0073,0.000073
772,0.0074,0.000074
773,0.0074,0.000074
774,0.0074,0.000074
775,0.0075,0.000075
776,0.0076,0.000076
777,0.0077,0.000077
778,0.0079,0.000079
779,0.008,0.00008
780,0.0081,0.000081
781,0.0083,0.000083
782,0.0084,0.000084
783,0.0085,0.000085
784,0.0087,0.000087
785,0.0088,0.000088
786,0.0089,0.000089
787,0.0091,0.000091
788,0.0092,0.000092
789,0.0094,0.000094
790,0.0095,0.000095
791,0.0097,0.000097
792,0.0098,0.000098
793,0.01,0.0001
794,0.0101,0.000101
795,0.0103,0.000103
796,0.0105,0.000105
797,0.0106,0.000106
798,0.0108,0.000108
799,0.011,0.00011
800,0.0112,0.000112
801,0.0114,0.000114
802,0.0116,0.000116
803,0.0118,0.000118
804,0.012,0.00012
805,0.0122,0.000122
806,0.0125,0.000125
807,0.0127,0.000127
808,0.0129,0.000129
809,0.0131,0.000131
810,0.0133,0.000133
811,0.0136,0.000136
812,0.0138,0.000138
813,0.014,0.00014
814,0.0143,0.000143
815,0.0145,0.000145
816,0.0148,0.000148
817,0.015,0.00015
818,0.0152,0.000152
819,0.0154,0.000154
820,0.0156,0.000156
821,0.0159,0.000159
822,0.0161,0.000161
823,0.0163,0.000163
824,0.0165,0.000165
825,0.0168,0.000168
826,0.017,0.00017
827,0.0173,0.000173
828,0.0175,0.000175
829,0.0177,0.000177
830,0.018,0.00018
831,0.0182,0.000182
832,0.0185,0.000185
833,0.0187,0.000187
834,0.019,0.00019
835,0.0193,0.000193
836,0.0195,0.000195
837,0.0198,0.000198
838,0.0201,0.000201
839,0.0203,0.000203
840,0.0206,0.000206
841,0.0209,0.000209
842,0.0211,0.000211
843,0.0214,0.000214
844,0.0217,0.000217
845,0.022,0.00022
846,0.0222,0.000222
847,0.0225,0.000225
848,0.0228,0.000228
849,0.0231,0.000231
850,0.0234,0.000234
851,0.0237,0.000237
852,0.024,0.00024
853,0.0243,0.000243
854,0.0246,0.000246
855,0.0249,0.000249
856,0.0252,0.000252
857,0.0255,0.000255
858,0.0259,0.000259
859,0.0262,0.000262
860,0.0265,0.000265
861,0.0268,0.000268
862,0.0272,0.000272
863,0.0275,0.000275
864,0.0278,0.000278
865,0.0282,0.000282
866,0.0285,0.000285
867,0.0289,0.000289
868,0.0292,0.000292
869,0.0296,0.000296
870,0.03,0.0003
871,0.0303,0.000303
872,0.0307,0.000307
873,0.0311,0.000311
874,0.0314,0.000314
875,0.0318,0.000318
876,0.0322,0.000322
877,0.0326,0.000326
878,0.033,0.00033
879,0.0334,0.000334
880,0.0338,0.000338
881,0.0342,0.000342
882,0.0346,0.000346
883,0.035,0.00035
884,0.0354,0.000354
885,0.0358,0.000358
886,0.0361,0.000361
887,0.0363,0.000363
888,0.0364,0.000364
889,0.0365,0.000365
890,0.0366,0.000366
891,0.0367,0.000367
892,0.0368,0.000368
893,0.0369,0.000369
894,0.037,0.00037
895,0.0371,0.000371
896,0.0372,0.000372
897,0.0373,0.000373
898,0.0374,0.000374
899,0.0375,0.000375
900,0.0376,0.000376
901,0.0378,0.000378
902,0.0379,0.000379
903,0.038,0.00038
904,0.0381,0.000381
905,0.0382,0.000382
906,0.0383,0.000383
907,0.0384,0.000384
908,0.0385,0.000385
909,0.0386,0.000386
910,0.0387,0.000387
911,0.0388,0.000388
912,0.0389,0.000389
913,0.0388,0.000388
914,0.0388,0.000388
915,0.0388,0.000388
916,0.0388,0.000388
917,0.0387,0.000387
918,0.0387,0.000387
919,0.0387,0.000387
920,0.0386,0.000386
921,0.0386,0.000386
922,0.0386,0.000386
923,0.0385,0.000385
924,0.0385,0.000385
925,0.0385,0.000385
926,0.0385,0.000385
927,0.0384,0.000384
928,0.0384,0.000384
929,0.0384,0.000384
930,0.0383,0.000383
931,0.0383,0.000383
932,0.0383,0.000383
933,0.0382,0.000382
934,0.0382,0.000382
935,0.0382,0.000382
936,0.0381,0.000381
937,0.0381,0.000381
938,0.0381,0.000381
939,0.038,0.00038
940,0.0378,0.000378
941,0.0376,0.000376
942,0.0373,0.000373
943,0.0371,0.000371
944,0.0368,0.000368
945,0.0365,0.000365
946,0.0363,0.000363
947,0.036,0.00036
948,0.0358,0.000358
949,0.0355,0.000355
950,0.0353,0.000353
951,0.0351,0.000351
952,0.0348,0.000348
953,0.0346,0.000346
954,0.0343,0.000343
955,0.0341,0.000341
956,0.0339,0.000339
957,0.0336,0.000336
958,0.0334,0.000334
959,0.0332,0.000332
960,0.033,0.00033
961,0.0327,0.000327
962,0.0325,0.000325
963,0.0323,0.000323
964,0.0321,0.000321
965,0.0319,0.000319
966,0.0316,0.000316
967,0.0314,0.000314
968,0.0312,0.000312
969,0.031,0.00031
970,0.0309,0.000309
971,0.0307,0.000307
972,0.0305,0.000305
973,0.0304,0.000304
974,0.0302,0.000302
975,0.0301,0.000301
976,0.0299,0.000299
977,0.0298,0.000298
978,0.0296,0.000296
979,0.0294,0.000294
980,0.0293,0.000293
981,0.0291,0.000291
982,0.029,0.00029
983,0.0288,0.000288
984,0.0287,0.000287
985,0.0285,0.000285
986,0.0284,0.000284
987,0.0283,0.000283
988,0.0281,0.000281
989,0.028,0.00028
990,0.0278,0.000278
991,0.0277,0.000277
992,0.0275,0.000275
993,0.0274,0.000274
994,0.0273,0.000273
995,0.0271,0.000271
996,0.027,0.00027
997,0.0269,0.000269
998,0.0267,0.000267
999,0.0266,0.000266
1000,0.0265,0.000265
1001,0.0264,0.000264
1002,0.0263,0.000263
1003,0.0262,0.000262
1004,0.0261,0.000261
1005,0.026,0.00026
1006,0.0259,0.000259
1007,0.0258,0.000258
1008,0.0258,0.000258
1009,0.0257,0.000257
1010,0.0256,0.000256
1011,0.0255,0.000255
1012,0.0254,0.000254
1013,0.0253,0.000253
1014,0.0252,0.000252
1015,0.0252,0.000252
1016,0.0251,0.000251
1017,0.025,0.00025
1018,0.0249,0.000249
1019,0.0248,0.000248
1020,0.0247,0.000247
1021,0.0247,0.000247
1022,0.0246,0.000246
1023,0.0245,0.000245
1024,0.0244,0.000244
1025,0.0243,0.000243
1026,0.0243,0.000243
1027,0.0242,0.000242
1028,0.0241,0.000241
1029,0.024,0.00024
1030,0.0239,0.000239
1031,0.0239,0.000239
1032,0.0238,0.000238
1033,0.0237,0.000237
1034,0.0236,0.000236
1035,0.0236,0.000236
1036,0.0235,0.000235
1037,0.0234,0.000234
1038,0.0234,0.000234
1039,0.0233,0.000233
1040,0.0232,0.000232
1041,0.0232,0.000232
1042,0.0231,0.000231
1043,0.023,0.00023
1044,0.023,0.00023
1045,0.0229,0.000229
1046,0.0228,0.000228
1047,0.0228,0.000228
1048,0.0227,0.000227
1049,0.0227,0.000227
1050,0.0226,0.000226
1051,0.0225,0.000225
1052,0.0225,0.000225
1053,0.0224,0.000224
1054,0.0223,0.000223
1055,0.0223,0.000223
1056,0.0222,0.000222
1057,0.0221,0.000221
1058,0.0221,0.000221
1059,0.022,0.00022
1060,0.022,0.00022
1061,0.0219,0.000219
1062,0.0218,0.000218
1063,0.0218,0.000218
1064,0.0217,0.000217
1065,0.0217,0.000217
1066,0.0216,0.000216
1067,0.0215,0.000215
1068,0.0215,0.000215
1069,0.0214,0.000214
1070,0.0214,0.000214
1071,0.0213,0.000213
1072,0.0212,0.000212
1073,0.0212,0.000212
1074,0.0211,0.000211
1075,0.0211,0.000211
1076,0.021,0.00021
1077,0.021,0.00021
1078,0.0209,0.000209
1079,0.0208,0.000208
1080,0.0208,0.000208
1081,0.0207,0.000207
1082,0.0207,0.000207
1083,0.0206,0.000206
1084,0.0206,0.000206
1085,0.0205,0.000205
1086,0.0204,0.000204
1087,0.0204,0.000204
1088,0.0203,0.000203
1089,0.0203,0.000203
1090,0.0202,0.000202
1091,0.0202,0.000202
1092,0.0201,0.000201
1093,0.0201,0.000201
1094,0.02,0.0002
1095,0.02,0.0002
1096,0.0199,0.000199
1097,0.0198,0.000198
1098,0.0198,0.000198
1099,0.0197,0.000197
1100,0.0197,0.000197
