# date_modified : 2026-05-21
# orig_filename: 135_180nm_UVEX_Dichroic_vs_AOI.csv
# wavelength_unit: um
wavelength    reflection    transmission
0.5090        0.064020      0.933800
0.5100        0.064340      0.933480
0.5110        0.064680      0.933180
0.5120        0.064960      0.932880
0.5130        0.065260      0.932600
0.5140        0.065540      0.932320
0.5150        0.065820      0.932060
0.5160        0.066100      0.931820
0.5170        0.066360      0.931600
0.5180        0.066600      0.931340
0.5190        0.066820      0.931120
0.5200        0.067020      0.930940
0.5210        0.067220      0.930740
0.5220        0.067440      0.930540
0.5230        0.067620      0.930380
0.5240        0.067780      0.930220
0.5250        0.067920      0.930120
0.5260        0.068060      0.929960
0.5270        0.068180      0.929820
0.5280        0.068300      0.929700
0.5290        0.068440      0.929620
0.5300        0.068560      0.929520
0.5310        0.068660      0.929440
0.5320        0.068720      0.929360
0.5330        0.068800      0.929320
0.5340        0.068900      0.929220
0.5350        0.068940      0.929180
0.5360        0.068980      0.929120
0.5370        0.069020      0.929100
0.5380        0.069060      0.929080
0.5390        0.069100      0.929060
0.5400        0.069120      0.929040
0.5410        0.069140      0.929040
0.5420        0.069160      0.929040
0.5430        0.069160      0.929020
0.5440        0.069160      0.929020
0.5450        0.069200      0.929060
0.5460        0.069160      0.929060
0.5470        0.069160      0.929080
0.5480        0.069140      0.929120
0.5490        0.069100      0.929120
0.5500        0.069100      0.929180
0.5510        0.069060      0.929200
0.5520        0.069020      0.929260
0.5530        0.068980      0.929320
0.5540        0.068920      0.929360
0.5550        0.068880      0.929400
0.5560        0.068820      0.929480
0.5570        0.068760      0.929540
0.5580        0.068700      0.929620
0.5590        0.068620      0.929680
0.5600        0.068560      0.929780
0.5610        0.068460      0.929840
0.5620        0.068360      0.929920
0.5630        0.068300      0.930020
0.5640        0.068200      0.930120
0.5650        0.068100      0.930260
0.5660        0.067980      0.930340
0.5670        0.067880      0.930480
0.5680        0.067760      0.930580
0.5690        0.067640      0.930700
0.5700        0.067520      0.930820
0.5710        0.067380      0.930960
0.5720        0.067260      0.931120
0.5730        0.067140      0.931240
0.5740        0.066960      0.931380
0.5750        0.066800      0.931540
0.5760        0.066680      0.931720
0.5770        0.066480      0.931880
0.5780        0.066360      0.932060
0.5790        0.066180      0.932220
0.5800        0.066000      0.932400
0.5810        0.065800      0.932580
0.5820        0.065640      0.932760
0.5830        0.065460      0.932960
0.5840        0.065260      0.933140
0.5850        0.065040      0.933340
0.5860        0.064860      0.933560
0.5870        0.064660      0.933760
0.5880        0.064440      0.933960
0.5890        0.064240      0.934160
0.5900        0.064040      0.934400
0.5910        0.063840      0.934620
0.5920        0.063600      0.934820
0.5930        0.063420      0.935040
0.5940        0.063180      0.935260
0.5950        0.062960      0.935460
0.5960        0.062760      0.935680
0.5970        0.062520      0.935900
0.5980        0.062300      0.936160
0.5990        0.062100      0.936360
0.6000        0.061860      0.936600
0.6010        0.061660      0.936840
0.6020        0.061420      0.937000
0.6030        0.061200      0.937240
0.6040        0.060980      0.937460
0.6050        0.060800      0.937700
0.6060        0.060600      0.937880
0.6070        0.060380      0.938100
0.6080        0.060200      0.938280
0.6090        0.060000      0.938480
0.6100        0.059800      0.938700
0.6110        0.059600      0.938880
0.6120        0.059440      0.939080
0.6130        0.059240      0.939260
0.6140        0.059080      0.939400
0.6150        0.058920      0.939600
0.6160        0.058760      0.939760
0.6170        0.058580      0.939900
0.6180        0.058460      0.940060
0.6190        0.058280      0.940220
0.6200        0.058160      0.940340
0.6210        0.058040      0.940460
0.6220        0.057940      0.940580
0.6230        0.057820      0.940700
0.6240        0.057740      0.940820
0.6250        0.057620      0.940920
0.6260        0.057540      0.941000
0.6270        0.057460      0.941080
0.6280        0.057400      0.941160
0.6290        0.057360      0.941220
0.6300        0.057280      0.941300
0.6310        0.057240      0.941320
0.6320        0.057200      0.941360
0.6330        0.057160      0.941380
0.6340        0.057180      0.941400
0.6350        0.057160      0.941420
0.6360        0.057140      0.941400
0.6370        0.057160      0.941420
0.6380        0.057200      0.941380
0.6390        0.057220      0.941360
0.6400        0.057260      0.941300
0.6410        0.057300      0.941300
0.6420        0.057360      0.941240
0.6430        0.057420      0.941160
0.6440        0.057500      0.941100
0.6450        0.057560      0.941020
0.6460        0.057660      0.940940
0.6470        0.057780      0.940860
0.6480        0.057860      0.940740
0.6490        0.057960      0.940620
0.6500        0.058120      0.940500
0.6510        0.058240      0.940380
0.6520        0.058360      0.940240
0.6530        0.058500      0.940120
0.6540        0.058660      0.939980
0.6550        0.058800      0.939820
0.6560        0.058980      0.939660
0.6570        0.059140      0.939500
0.6580        0.059320      0.939320
0.6590        0.059500      0.939160
0.6600        0.059660      0.938980
0.6610        0.059880      0.938800
0.6620        0.060080      0.938580
0.6630        0.060260      0.938420
0.6640        0.060460      0.938240
0.6650        0.060660      0.938000
0.6660        0.060860      0.937780
0.6670        0.061100      0.937600
0.6680        0.061300      0.937380
0.6690        0.061520      0.937160
0.6700        0.061740      0.936920
0.6710        0.061960      0.936700
0.6720        0.062180      0.936520
0.6730        0.062420      0.936300
0.6740        0.062640      0.936060
0.6750        0.062860      0.935840
0.6760        0.063100      0.935600
0.6770        0.063320      0.935400
0.6780        0.063540      0.935140
0.6790        0.063780      0.934940
0.6800        0.064020      0.934700
0.6810        0.064220      0.934480
0.6820        0.064460      0.934240
0.6830        0.064700      0.934040
0.6840        0.064920      0.933820
0.6850        0.065140      0.933600
0.6860        0.065340      0.933380
0.6870        0.065580      0.933180
0.6880        0.065780      0.932960
0.6890        0.066020      0.932740
0.6900        0.066220      0.932520
0.6910        0.066440      0.932360
0.6920        0.066640      0.932120
0.6930        0.066820      0.931900
0.6940        0.067020      0.931760
0.6950        0.067200      0.931560
0.6960        0.067400      0.931380
0.6970        0.067580      0.931200
0.6980        0.067780      0.931000
0.6990        0.067960      0.930820
0.7000        0.068120      0.930680
0.7010        0.068300      0.930520
0.7020        0.068420      0.930360
0.7030        0.068580      0.930200
0.7040        0.068740      0.930040
0.7050        0.068900      0.929900
0.7060        0.069040      0.929760
0.7070        0.069180      0.929640
0.7080        0.069300      0.929520
0.7090        0.069440      0.929400
0.7100        0.069560      0.929260
0.7110        0.069680      0.929160
0.7120        0.069780      0.929040
0.7130        0.069860      0.928960
0.7140        0.069960      0.928860
0.7150        0.070020      0.928780
0.7160        0.070120      0.928700
0.7170        0.070200      0.928620
0.7180        0.070280      0.928540
0.7190        0.070340      0.928480
0.7200        0.070420      0.928440
0.7210        0.070460      0.928380
0.7220        0.070520      0.928340
0.7230        0.070560      0.928300
0.7240        0.070600      0.928260
0.7250        0.070620      0.928220
0.7260        0.070660      0.928220
0.7270        0.070680      0.928200
0.7280        0.070680      0.928180
0.7290        0.070700      0.928180
0.7300        0.070720      0.928180
0.7310        0.070720      0.928160
0.7320        0.070700      0.928180
0.7330        0.070640      0.928200
0.7340        0.070640      0.928240
0.7350        0.070640      0.928260
0.7360        0.070580      0.928260
0.7370        0.070560      0.928320
0.7380        0.070520      0.928360
0.7390        0.070480      0.928380
0.7400        0.070440      0.928460
0.7410        0.070380      0.928500
0.7420        0.070340      0.928560
0.7430        0.070260      0.928620
0.7440        0.070200      0.928700
0.7450        0.070140      0.928780
0.7460        0.070060      0.928860
0.7470        0.070000      0.928920
0.7480        0.069880      0.929000
0.7490        0.069820      0.929080
0.7500        0.069740      0.929180
0.7510        0.069640      0.929280
0.7520        0.069560      0.929380
0.7530        0.069440      0.929460
0.7540        0.069360      0.929580
0.7550        0.069240      0.929700
0.7560        0.069140      0.929780
0.7570        0.069040      0.929900
0.7580        0.068920      0.930040
0.7590        0.068800      0.930120
0.7600        0.068700      0.930240
0.7610        0.068540      0.930340
0.7620        0.068440      0.930500
0.7630        0.068300      0.930600
0.7640        0.068200      0.930740
0.7650        0.068060      0.930860
0.7660        0.067920      0.931000
0.7670        0.067820      0.931140
0.7680        0.067680      0.931260
0.7690        0.067560      0.931380
0.7700        0.067400      0.931560
0.7710        0.067280      0.931680
0.7720        0.067140      0.931800
0.7730        0.067000      0.931960
0.7740        0.066880      0.932100
0.7750        0.066720      0.932200
0.7760        0.066620      0.932380
0.7770        0.066440      0.932520
0.7780        0.066300      0.932660
0.7790        0.066160      0.932800
0.7800        0.066040      0.932920
0.7810        0.065900      0.933100
0.7820        0.065720      0.933220
0.7830        0.065620      0.933360
0.7840        0.065460      0.933520
0.7850        0.065300      0.933680
0.7860        0.065200      0.933800
0.7870        0.065020      0.933940
0.7880        0.064920      0.934100
0.7890        0.064780      0.934220
0.7900        0.064620      0.934340
0.7910        0.064500      0.934520
0.7920        0.064380      0.934620
0.7930        0.064220      0.934760
0.7940        0.064140      0.934900
0.7950        0.063980      0.935020
0.7960        0.063840      0.935140
0.7970        0.063720      0.935280
0.7980        0.063600      0.935400
0.7990        0.063460      0.935560
0.8000        0.063360      0.935660
0.8010        0.063240      0.935800
0.8020        0.063120      0.935880
0.8030        0.063020      0.936000
0.8040        0.062900      0.936140
0.8050        0.062780      0.936240
0.8060        0.062660      0.936340
0.8070        0.062560      0.936480
0.8080        0.062440      0.936580
0.8090        0.062360      0.936680
0.8100        0.062220      0.936760
0.8110        0.062140      0.936900
0.8120        0.062040      0.936980
0.8130        0.061960      0.937100
0.8140        0.061860      0.937200
0.8150        0.061760      0.937280
0.8160        0.061680      0.937380
0.8170        0.061560      0.937480
0.8180        0.061480      0.937580
0.8190        0.061400      0.937680
0.8200        0.061320      0.937740
0.8210        0.061220      0.937820
0.8220        0.061160      0.937900
0.8230        0.061080      0.937960
0.8240        0.061020      0.938060
0.8250        0.060940      0.938120
0.8260        0.060840      0.938200
0.8270        0.060800      0.938280
0.8280        0.060760      0.938340
0.8290        0.060660      0.938420
0.8300        0.060600      0.938460
0.8310        0.060560      0.938520
0.8320        0.060480      0.938600
0.8330        0.060400      0.938640
0.8340        0.060360      0.938700
0.8350        0.060320      0.938760
0.8360        0.060280      0.938840
0.8370        0.060220      0.938880
0.8380        0.060180      0.938900
0.8390        0.060120      0.938940
0.8400        0.060080      0.939000
0.8410        0.060060      0.939040
0.8420        0.060020      0.939100
0.8430        0.059960      0.939100
0.8440        0.059920      0.939160
0.8450        0.059900      0.939200
0.8460        0.059880      0.939220
0.8470        0.059840      0.939260
0.8480        0.059800      0.939300
0.8490        0.059780      0.939320
0.8500        0.059740      0.939360
0.8510        0.059740      0.939400
0.8520        0.059680      0.939420
0.8530        0.059680      0.939440
0.8540        0.059640      0.939460
0.8550        0.059620      0.939480
0.8560        0.059640      0.939500
0.8570        0.059600      0.939540
0.8580        0.059600      0.939560
0.8590        0.059580      0.939560
0.8600        0.059560      0.939580
0.8610        0.059540      0.939580
0.8620        0.059520      0.939600
0.8630        0.059520      0.939600
0.8640        0.059540      0.939620
0.8650        0.059500      0.939620
0.8660        0.059500      0.939620
0.8670        0.059500      0.939640
0.8680        0.059500      0.939640
0.8690        0.059500      0.939660
0.8700        0.059500      0.939620
0.8710        0.059480      0.939640
0.8720        0.059500      0.939660
0.8730        0.059540      0.939660
0.8740        0.059520      0.939660
0.8750        0.059520      0.939640
0.8760        0.059480      0.939640
0.8770        0.059520      0.939640
0.8780        0.059520      0.939640
0.8790        0.059520      0.939620
0.8800        0.059520      0.939640
0.8810        0.059540      0.939620
0.8820        0.059560      0.939620
0.8830        0.059580      0.939620
0.8840        0.059560      0.939620
0.8850        0.059580      0.939600
0.8860        0.059580      0.939580
0.8870        0.059600      0.939580
0.8880        0.059620      0.939540
0.8890        0.059640      0.939560
0.8900        0.059640      0.939560
0.8910        0.059640      0.939540
0.8920        0.059640      0.939500
0.8930        0.059680      0.939500
0.8940        0.059720      0.939500
0.8950        0.059720      0.939460
0.8960        0.059740      0.939440
0.8970        0.059740      0.939420
0.8980        0.059780      0.939420
0.8990        0.059780      0.939400
0.9000        0.059800      0.939380
0.9010        0.059820      0.939380
0.9020        0.059860      0.939360
0.9030        0.059860      0.939340
0.9040        0.059880      0.939300
0.9050        0.059900      0.939300
0.9060        0.059920      0.939280
0.9070        0.059940      0.939260
0.9080        0.059960      0.939240
0.9090        0.059980      0.939240
0.9100        0.060020      0.939220
0.9110        0.060040      0.939180
0.9120        0.060040      0.939180
0.9130        0.060080      0.939160
0.9140        0.060100      0.939160
0.9150        0.060120      0.939080
0.9160        0.060120      0.939080
0.9170        0.060140      0.939060
0.9180        0.060200      0.939060
0.9190        0.060220      0.939020
0.9200        0.060220      0.939020
0.9210        0.060220      0.939000
0.9220        0.060280      0.938980
0.9230        0.060300      0.938920
0.9240        0.060300      0.938920
0.9250        0.060320      0.938900
0.9260        0.060380      0.938880
0.9270        0.060400      0.938860
0.9280        0.060400      0.938840
0.9290        0.060400      0.938840
0.9300        0.060460      0.938800
0.9310        0.060480      0.938780
0.9320        0.060500      0.938740
0.9330        0.060500      0.938740
0.9340        0.060540      0.938740
0.9350        0.060560      0.938720
0.9360        0.060600      0.938640
0.9370        0.060600      0.938640
0.9380        0.060640      0.938640
0.9390        0.060660      0.938620
0.9400        0.060680      0.938580
0.9410        0.060700      0.938540
0.9420        0.060740      0.938540
0.9430        0.060740      0.938540
0.9440        0.060780      0.938500
0.9450        0.060780      0.938480
0.9460        0.060840      0.938440
0.9470        0.060840      0.938440
0.9480        0.060860      0.938420
0.9490        0.060880      0.938380
0.9500        0.060900      0.938380
0.9510        0.060940      0.938340
0.9520        0.060940      0.938340
0.9530        0.060980      0.938300
0.9540        0.061000      0.938280
0.9550        0.061040      0.938280
0.9560        0.061040      0.938240
0.9570        0.061060      0.938200
0.9580        0.061100      0.938180
0.9590        0.061120      0.938180
0.9600        0.061140      0.938180
0.9610        0.061160      0.938140
0.9620        0.061180      0.938100
0.9630        0.061220      0.938080
0.9640        0.061240      0.938080
0.9650        0.061260      0.938080
0.9660        0.061280      0.938020
0.9670        0.061280      0.937980
0.9680        0.061320      0.937980
0.9690        0.061360      0.937980
0.9700        0.061380      0.937920
0.9710        0.061380      0.937920
0.9720        0.061400      0.937900
0.9730        0.061440      0.937880
0.9740        0.061480      0.937880
